num,zip_code,city
1,98002,Auburn
2,98092,Auburn
3,98224,Baring
4,98004,Bellevue
5,98005,Bellevue
6,98006,Bellevue
7,98007,Bellevue
8,98008,Bellevue
9,98010,Black Diamond
10,98011,Bothell
11,98178,Bryn Mawr-Skyway
12,98148,Burien
13,98166,Burien
14,98014,Carnation
15,98077,Cottage Lake
16,98042,Covington
17,98198,Des Moines
18,98019,Duvall
19,98031,East Hill-Meridian
20,98022,Enumclaw
21,98058,Fairwood
22,98024,Fall City
23,98003,Federal Way
24,98023,Federal Way
25,98027,Issaquah
26,98029,Issaquah
27,98028,Kenmore
28,98032,Kent
29,98030,Kent
30,98033,Kirkland
31,98034,Kirkland
32,98001,Lakeland North
33,98038,Maple Valley
34,98039,Medina
35,98040,Mercer Island
36,98045,North Bend
37,98047,Pacific
38,98050,Preston
39,98051,Ravensdale
40,98052,Redmond
41,98055,Renton
42,98056,Renton
43,98057,Renton
44,98059,Renton
45,98074,Sammamish
46,98075,Sammamish
47,98188,SeaTac
48,98199,Seattle
49,98174,Seattle
50,98154,Seattle
51,98158,Seattle
52,98164,Seattle
53,98101,Seattle
54,98102,Seattle
55,98103,Seattle
56,98104,Seattle
57,98105,Seattle
58,98106,Seattle
59,98107,Seattle
60,98108,Seattle
61,98109,Seattle
62,98112,Seattle
63,98115,Seattle
64,98116,Seattle
65,98117,Seattle
66,98118,Seattle
67,98119,Seattle
68,98121,Seattle
69,98122,Seattle
70,98125,Seattle
71,98126,Seattle
72,98133,Seattle
73,98134,Seattle
74,98136,Seattle
75,98144,Seattle
76,98155,Shoreline
77,98177,Shoreline
78,98288,Skykomish
79,98065,Snoqualmie
80,98168,Tukwila
81,98053,Union Hill-Novelty Hill
82,98195,Univ Of Washington
83,98070,Vashon
84,98146,White Center
85,98072,Woodinville
